country,quarter,gross_fixed_capital_formation,final_consumption_expenditure,gross_domestic_product,external_balance_of_goods_and_services,inflation,unemployment,working_age_population,dependency_ratio
United States,4/1/1995,507149,2340934.3,2838430.3,-19086.3,3.093249,5.666667,174814854,52.76641318
United States,7/1/1995,511228,2358627.8,2862577.5,-10001,2.641003,5.666667,175392344,52.70774516
United States,10/1/1995,518543.3,2366999,2882016.8,-9771.3,2.650924,5.566667,175969834,52.64907715
United States,1/1/1996,531826,2385428,2903604.5,-15064.8,2.739726,5.533333,176547324,52.59040913
United States,4/1/1996,546221.8,2412104.3,2952035,-16908.5,2.847131,5.5,177199984,52.48841181
United States,7/1/1996,557126,2423078,2978515.8,-23539.8,2.943742,5.266667,177852644,52.3864145
United States,10/1/1996,565242.8,2441726.5,3009443.8,-13261.8,3.190104,5.333333,178505304,52.28441718
United States,1/1/1997,571814.8,2462227.5,3028868,-20173,2.946237,5.233333,179157964,52.18241987
United States,4/1/1997,581646,2477592.8,3079305.3,-19101.8,2.342419,5,179807101.3,52.0800411
United States,7/1/1997,600784.3,2512228,3117752.5,-23696.3,2.202923,4.866667,180456238.5,51.97766234
United States,10/1/1997,604186.3,2540025.5,3144373.8,-30889,1.871714,4.666667,181105375.8,51.87528357
United States,1/1/1998,618923.8,2559005.5,3175935.5,-41580,1.462294,4.633333,181754513,51.77290481
United States,4/1/1998,639329.3,2602737.3,3205334.8,-52416,1.602164,4.4,182387624.5,51.68370929
United States,7/1/1998,653248,2630757.3,3245688,-58319.8,1.595855,4.533333,183020736,51.59451377
United States,10/1/1998,666116.5,2667943.5,3297917.5,-58825.5,1.548307,4.433333,183653847.5,51.50531824
United States,1/1/1999,677759.5,2692524.3,3328899.3,-69884.3,1.667696,4.3,184286959,51.41612272
United States,4/1/1999,692246,2727409.3,3356687,-76721.3,2.109359,4.266667,184918469.8,51.3220991
United States,7/1/1999,707785.5,2757658.8,3401192.8,-81289.3,2.345981,4.233333,185549980.5,51.22807549
United States,10/1/1999,714400.8,2796552.5,3456995,-84667.5,2.622484,4.066667,186181491.3,51.13405187
United States,1/1/2000,732081.8,2826037.8,3469536.8,-95238.3,3.240178,4.033333,186813002,51.04002825
United States,4/1/2000,743563,2856277.5,3532727,-98714,3.329322,3.933333,187416853.3,50.92882872
United States,7/1/2000,745690.3,2876763.3,3536328,-106216.8,3.508073,4,188020704.5,50.81762919
United States,10/1/2000,749487.5,2899262.3,3557441.3,-110246.3,3.4271,3.9,188624555.8,50.70642966
United States,1/1/2001,747602.5,2915998.8,3545780,-108720.5,3.393488,4.233333,189228407,50.59523013
United States,4/1/2001,745692.8,2926189.5,3567923.5,-104346.5,3.377329,4.4,189806294.3,50.48757054
United States,7/1/2001,736344.8,2939324,3553629,-111125,2.695937,4.833333,190384181.5,50.37991095
United States,10/1/2001,728612.8,2982435,3563393.5,-117398.5,1.857882,5.5,190962068.8,50.27225136
United States,1/1/2002,726309.5,2996684.3,3593196.3,-122663,1.252134,5.7,191539956,50.16459177
United States,4/1/2002,726442,3013548,3615212,-127897.8,1.295531,5.833333,192058905.5,50.08268036
United States,7/1/2002,727860.5,3031903.3,3629908.3,-132471.8,1.59385,5.733333,192577855,50.00076894
United States,10/1/2002,727477.5,3048611.5,3634395,-144984.5,2.200075,5.866667,193096804.5,49.91885753
United States,1/1/2003,732807,3061487.8,3653535.3,-143963,2.866779,5.866667,193615754,49.83694612
United States,4/1/2003,747096.3,3096602.3,3685891.8,-149963.5,2.131603,6.133333,194199359.8,49.73482027
United States,7/1/2003,769710.5,3130795.3,3747195.5,-148756.5,2.196383,6.133333,194782965.5,49.63269442
United States,10/1/2003,781688.8,3152145,3790690,-149345.5,1.895124,5.833333,195366571.3,49.53056857
United States,1/1/2004,779779,3179623,3812170,-155293.8,1.785064,5.7,195950177,49.42844272
United States,4/1/2004,798083,3194768.8,3841712.5,-167583.3,2.867514,5.6,196549571.5,49.3186151
United States,7/1/2004,811627.8,3227136.3,3878154.8,-173501,2.727108,5.433333,197148966,49.20878748
United States,10/1/2004,823474.5,3256768.3,3917720,-177385.8,3.322499,5.433333,197748360.5,49.09895986
United States,1/1/2005,835599,3277145.3,3961181.8,-175359.5,3.042233,5.3,198347755,48.98913224
United States,4/1/2005,847987.5,3305583.3,3980695.5,-174499.5,2.946366,5.1,198935590.3,48.90941968
United States,7/1/2005,860236,3330523,4011896.8,-177599.5,3.83263,4.966667,199523425.5,48.82970712
United States,10/1/2005,863826.5,3335715.3,4034183.5,-183786.3,3.739951,4.966667,200111260.8,48.74999456
United States,1/1/2006,880925.8,3371250.5,4088458.8,-180038.5,3.6471,4.733333,200699096,48.670282
